year,temp_k,temp_f,temp_c
1940,286.8353065123767,56.633551722278085,13.685306512376712
1941,286.8796676965566,56.71340185380196,13.729667696556646
1942,286.7890117964885,56.55022123367938,13.639011796488546
1943,286.7950633746849,56.561114074432865,13.645063374684923
1944,286.98644542076823,56.90560175738286,13.836445420768257
1945,286.84673773717543,56.65412792691582,13.696737737175454
1946,286.84981413174944,56.65966543714903,13.699814131749463
1947,286.894312373962,56.73976227313166,13.744312373962032
1948,286.83352062178835,56.63033711921908,13.683520621788375
1949,286.865966646246,56.68873996324288,13.715966646246045
1950,286.75444091335066,56.487993644031235,13.604440913350686
1951,286.88683780222703,56.726308044008704,13.736837802227058
1952,286.87105469216345,56.69789844589426,13.721054692163477
1953,286.9481650333811,56.836697060085996,13.79816503338111
1954,286.75128051928186,56.48230493470739,13.601280519281886
1955,286.7334012679114,56.45012228224057,13.583401267911427
1956,286.67394481613053,56.343100669034996,13.523944816130552
1957,286.9221470491546,56.789864688478325,13.772147049154626
1958,286.9890183879356,56.910233098284074,13.839018387935596
1959,286.9538929656876,56.847007338237724,13.803892965687623
1960,286.9087820169307,56.76580763047525,13.758782016930695
1961,286.9844150450944,56.90194708116998,13.834415045094431
1962,286.9238585285376,56.792945351367734,13.77385852853763
1963,286.96085392155663,56.85953705880198,13.810853921556657
1964,286.74890542658363,56.47802976785058,13.598905426583656
1965,286.8108308535898,56.58949553646164,13.6608308535898
1966,286.8890062731577,56.73021129168389,13.739006273157713
1967,286.90208769294765,56.753757847305806,13.752087692947669
1968,286.8398001854493,56.641640333808766,13.689800185449315
1969,286.9710609989837,56.877909798170734,13.82106099898374
1970,286.94587076024123,56.83256736843426,13.795870760241257
1971,286.7909928246638,56.55378708439491,13.64099282466384
1972,286.92632971874076,56.79739349373341,13.776329718740783
1973,287.02973086920224,56.98351556456407,13.879730869202263
1974,286.75377117965763,56.48678812338378,13.603771179657656
1975,286.7787143037318,56.531685746717315,13.62871430373184
1976,286.7099837913245,56.407970824384094,13.559983791324498
1977,286.9958821417141,56.92258785508543,13.845882141714128
1978,286.9369486432936,56.8165075579285,13.786948643293613
1979,287.0924263657253,57.09636745830561,13.942426365725339
1980,287.2236571298056,57.3325828336501,14.07365712980561
1981,287.25705095762316,57.39269172372174,14.107050957623187
1982,287.0577638212461,57.03397487824304,13.907763821246135
1983,287.2526282281276,57.38473081062973,14.102628228127628
1984,287.0399991998759,57.0019985597767,13.889999199875945
1985,286.99962459910176,56.92932427838322,13.849624599101787
1986,287.08838995180366,57.08910191324664,13.938389951803686
1987,287.2437862252418,57.36881520543532,14.093786225241843
1988,287.27593077070975,57.42667538727759,14.125930770709772
1989,287.15759249070265,57.21366648326482,14.007592490702677
1990,287.3890079657883,57.63021433841902,14.239007965788346
1991,287.3342457715241,57.531642388743386,14.184245771524104
1992,287.10217137708145,57.113908478746644,13.95217137708147
1993,287.1479797643936,57.196363575908514,13.99797976439362
1994,287.18430245293786,57.261744415288184,14.03430245293788
1995,287.3620729656931,57.58173133824757,14.212072965693096
1996,287.23210984573484,57.34779772232275,14.082109845734863
1997,287.35432497393606,57.567784953084946,14.204324973936082
1998,287.5429536238179,57.90731652287222,14.392953623817903
1999,287.2740865615081,57.42335581071465,14.124086561508136
2000,287.26901716302984,57.41423089345376,14.119017163029866
2001,287.4290261623248,57.70224709218471,14.27902616232484
2002,287.5257078552024,57.87627413936441,14.37570785520245
2003,287.5127432717582,57.85293788916482,14.362743271758234
2004,287.45138959461104,57.74250127029992,14.301389594611067
2005,287.6136267769107,58.03452819843926,14.4636267769107
2006,287.5655332081961,57.947959774752995,14.41553320819611
2007,287.5581257019323,57.93462626347815,14.408125701932306
2008,287.4256530821788,57.696175547921925,14.275653082178849
2009,287.556309207675,57.931356573815016,14.406309207675008
2010,287.65199163598334,58.10358494477005,14.501991635983359
2011,287.51013249456946,57.84823849022507,14.360132494569484
2012,287.5612700143153,57.940286025767605,14.411270014315335
2013,287.58849149911134,57.98928469840045,14.438491499111365
2014,287.6276503629162,58.0597706532492,14.477650362916222
2015,287.7770187298732,58.32863371377179,14.627018729873214
2016,287.9606365567858,58.65914580221448,14.810636556785823
2017,287.86508270965845,58.48714887738525,14.715082709658475
2018,287.78532705383867,58.34358869690965,14.635327053838694
2019,287.9206700415729,58.58720607483129,14.770670041572941
2020,287.95360515357726,58.646489276439105,14.80360515357728
2021,287.7951327286714,58.36123891160852,14.645132728671399
2022,287.82230679681766,58.41015223427182,14.67230679681768
2023,288.12217481422505,58.94991466560513,14.97217481422507
